disability_group,age,state,district,supply_class,average_payment_annual,participant_count
Multiple Sclerosis,65+,NSW,South Western Sydney,Capacity Building,88000,14
Multiple Sclerosis,65+,NSW,South Western Sydney,Core,181000,29
Multiple Sclerosis,65+,NSW,Southern NSW,Core,142000,12
Multiple Sclerosis,65+,NSW,Western Sydney,Core,180000,15
Other,0 to 6,NSW,Hunter New England,Capacity Building,23000,15
Other,0 to 6,NSW,North Sydney,Capacity Building,31000,16
Other,45 to 54,NSW,Hunter New England,Capacity Building,51000,24
Other,45 to 54,NSW,Hunter New England,Core,117000,36
Other,45 to 54,NSW,South Eastern Sydney,Core,89000,13
Other,45 to 54,NSW,South Western Sydney,Capacity Building,79000,20
Other,45 to 54,NSW,South Western Sydney,Core,101000,29
Other,45 to 54,NSW,Western Sydney,Core,70000,17
Other,55 to 64,NSW,Central Coast,Core,124000,14
Other,55 to 64,NSW,Hunter New England,Capacity Building,61000,44
Other,55 to 64,NSW,Hunter New England,Core,81000,62
Other,55 to 64,NSW,Illawarra Shoalhaven,Capacity Building,62000,27
Other,55 to 64,NSW,Illawarra Shoalhaven,Core,105000,20
Other,55 to 64,NSW,Mid North Coast,Capacity Building,74000,15
Other,55 to 64,NSW,Mid North Coast,Core,83000,19
Other,55 to 64,NSW,Murrumbidgee,Core,22000,22
Other,55 to 64,NSW,Nepean Blue Mountains,Core,136000,20
Other,55 to 64,NSW,North Sydney,Capacity Building,64000,16
Other,55 to 64,NSW,North Sydney,Core,154000,28
Other,55 to 64,NSW,Northern NSW,Capacity Building,57000,14
Other,55 to 64,NSW,Northern NSW,Core,36000,20
Other,55 to 64,NSW,South Eastern Sydney,Core,119000,31
Other,55 to 64,NSW,South Western Sydney,Capacity Building,91000,38
Other,55 to 64,NSW,South Western Sydney,Core,118000,64
Other,55 to 64,NSW,Southern NSW,Core,73000,15
Other,55 to 64,NSW,Sydney,Capacity Building,54000,14
Other,55 to 64,NSW,Western NSW,Core,92000,20
Other,55 to 64,NSW,Western Sydney,Capacity Building,67000,32
Other,55 to 64,NSW,Western Sydney,Core,233000,41
Other,65+,NSW,Hunter New England,Core,77000,17
Other,65+,NSW,South Western Sydney,Core,134000,19
Other,7 to 14,NSW,Hunter New England,Capacity Building,13000,66
Other,7 to 14,NSW,Hunter New England,Core,6000,25
Other,7 to 14,NSW,Nepean Blue Mountains,Capacity Building,14000,18
Other,7 to 14,NSW,North Sydney,Capacity Building,17000,20
Other,7 to 14,NSW,South Western Sydney,Capacity Building,12000,32
Other Neurological,0 to 6,NSW,Western Sydney,Capacity Building,35000,13
Other Neurological,15 to 18,NSW,Hunter New England,Capacity Building,20000,26
Other Neurological,15 to 18,NSW,Hunter New England,Core,29000,22
Other Neurological,15 to 18,NSW,South Eastern Sydney,Capacity Building,33000,12
Other Neurological,15 to 18,NSW,South Eastern Sydney,Core,39000,13
Other Neurological,15 to 18,NSW,South Western Sydney,Capacity Building,52000,19
Other Neurological,15 to 18,NSW,South Western Sydney,Core,147000,24
Other Neurological,15 to 18,NSW,Western Sydney,Core,126000,12
Other Neurological,19 to 24,NSW,Hunter New England,Capacity Building,94000,25
Other Neurological,19 to 24,NSW,Hunter New England,Core,143000,37
Other Neurological,19 to 24,NSW,North Sydney,Core,38000,13
Other Neurological,19 to 24,NSW,South Eastern Sydney,Capacity Building,91000,13
Other Neurological,19 to 24,NSW,South Eastern Sydney,Core,48000,13
Other Neurological,19 to 24,NSW,South Western Sydney,Capacity Building,111000,13
Other Neurological,19 to 24,NSW,South Western Sydney,Core,180000,26
Other Neurological,19 to 24,NSW,Western Sydney,Capacity Building,110000,20
Other Neurological,19 to 24,NSW,Western Sydney,Core,108000,24
Other Neurological,25 to 34,NSW,Hunter New England,Capacity Building,108000,26
Other Neurological,25 to 34,NSW,Hunter New England,Core,210000,32
Other Neurological,25 to 34,NSW,Nepean Blue Mountains,Capacity Building,74000,11
Other Neurological,25 to 34,NSW,North Sydney,Core,140000,18
Other Neurological,25 to 34,NSW,Northern NSW,Core,139000,12
Other Neurological,25 to 34,NSW,South Eastern Sydney,Core,201000,16
Other Neurological,25 to 34,NSW,South Western Sydney,Capacity Building,99000,30
Other Neurological,25 to 34,NSW,South Western Sydney,Core,161000,24
Other Neurological,25 to 34,NSW,Western Sydney,Capacity Building,106000,25
Other Neurological,25 to 34,NSW,Western Sydney,Core,143000,28
Other Neurological,35 to 44,NSW,Central Coast,Capacity Building,114000,11
Other Neurological,35 to 44,NSW,Central Coast,Core,134000,17
Other Neurological,35 to 44,NSW,Hunter New England,Capacity Building,101000,36
Other Neurological,35 to 44,NSW,Hunter New England,Core,191000,42
Other Neurological,35 to 44,NSW,Illawarra Shoalhaven,Core,241000,16
Other Neurological,35 to 44,NSW,Mid North Coast,Core,209000,11
Other Neurological,35 to 44,NSW,Nepean Blue Mountains,Capacity Building,67000,19
Other Neurological,35 to 44,NSW,Nepean Blue Mountains,Core,265000,17
Other Neurological,35 to 44,NSW,North Sydney,Core,120000,13
Other Neurological,35 to 44,NSW,South Eastern Sydney,Capacity Building,77000,12
Other Neurological,35 to 44,NSW,South Eastern Sydney,Core,120000,19
Other Neurological,35 to 44,NSW,South Western Sydney,Capacity Building,87000,40
Other Neurological,35 to 44,NSW,South Western Sydney,Core,264000,36
Other Neurological,35 to 44,NSW,Western Sydney,Capacity Building,80000,28
Other Neurological,35 to 44,NSW,Western Sydney,Core,208000,29
Other Neurological,45 to 54,NSW,Central Coast,Capacity Building,60000,29
Other Neurological,45 to 54,NSW,Central Coast,Core,269000,21
Other Neurological,45 to 54,NSW,Hunter New England,Capacity Building,92000,61
Other Neurological,45 to 54,NSW,Hunter New England,Capital,76000,16
Other Neurological,45 to 54,NSW,Hunter New England,Core,183000,65
Other Neurological,45 to 54,NSW,Illawarra Shoalhaven,Capacity Building,108000,26
Other Neurological,45 to 54,NSW,Illawarra Shoalhaven,Core,178000,26
Other Neurological,45 to 54,NSW,Mid North Coast,Capacity Building,78000,17
Other Neurological,45 to 54,NSW,Mid North Coast,Core,158000,16
Other Neurological,45 to 54,NSW,Murrumbidgee,Capacity Building,66000,13
Other Neurological,45 to 54,NSW,Murrumbidgee,Core,150000,13
Other Neurological,45 to 54,NSW,Nepean Blue Mountains,Capacity Building,99000,28
Other Neurological,45 to 54,NSW,Nepean Blue Mountains,Core,270000,33
Other Neurological,45 to 54,NSW,North Sydney,Capacity Building,66000,31
Other Neurological,45 to 54,NSW,North Sydney,Core,175000,32
Other Neurological,45 to 54,NSW,Northern NSW,Capacity Building,106000,17
Other Neurological,45 to 54,NSW,Northern NSW,Core,220000,22
Other Neurological,45 to 54,NSW,South Eastern Sydney,Capacity Building,70000,30
Other Neurological,45 to 54,NSW,South Eastern Sydney,Core,155000,40
Other Neurological,45 to 54,NSW,South Western Sydney,Capacity Building,95000,36
Other Neurological,45 to 54,NSW,South Western Sydney,Core,177000,53
Other Neurological,45 to 54,NSW,Sydney,Capacity Building,60000,22
Other Neurological,45 to 54,NSW,Sydney,Core,175000,21
Other Neurological,45 to 54,NSW,Western NSW,Core,230000,18
Other Neurological,45 to 54,NSW,Western Sydney,Capacity Building,107000,43
Other Neurological,45 to 54,NSW,Western Sydney,Core,195000,54
Other Neurological,55 to 64,NSW,Central Coast,Capacity Building,69000,63
Other Neurological,55 to 64,NSW,Central Coast,Capital,50000,12
Other Neurological,55 to 64,NSW,Central Coast,Core,121000,79
Other Neurological,55 to 64,NSW,Hunter New England,Capacity Building,87000,131
Other Neurological,55 to 64,NSW,Hunter New England,Capital,73000,26
Other Neurological,55 to 64,NSW,Hunter New England,Core,164000,181
Other Neurological,55 to 64,NSW,Illawarra Shoalhaven,Capacity Building,99000,68
Other Neurological,55 to 64,NSW,Illawarra Shoalhaven,Capital,65000,12
Other Neurological,55 to 64,NSW,Illawarra Shoalhaven,Core,143000,76
Other Neurological,55 to 64,NSW,Mid North Coast,Capacity Building,88000,50
Other Neurological,55 to 64,NSW,Mid North Coast,Core,145000,59
Other Neurological,55 to 64,NSW,Murrumbidgee,Capacity Building,67000,43
Other Neurological,55 to 64,NSW,Murrumbidgee,Core,109000,43
Other Neurological,55 to 64,NSW,Nepean Blue Mountains,Capacity Building,73000,48
Other Neurological,55 to 64,NSW,Nepean Blue Mountains,Core,219000,55
Other Neurological,55 to 64,NSW,North Sydney,Capacity Building,63000,78
Other Neurological,55 to 64,NSW,North Sydney,Core,165000,97
Other Neurological,55 to 64,NSW,Northern NSW,Capacity Building,65000,53
Other Neurological,55 to 64,NSW,Northern NSW,Core,164000,37
Other Neurological,55 to 64,NSW,South Eastern Sydney,Capacity Building,79000,78
Other Neurological,55 to 64,NSW,South Eastern Sydney,Core,159000,84
Other Neurological,55 to 64,NSW,South Western Sydney,Capacity Building,97000,130
Other Neurological,55 to 64,NSW,South Western Sydney,Capital,97000,22
Other Neurological,55 to 64,NSW,South Western Sydney,Core,209000,179
Other Neurological,55 to 64,NSW,Southern NSW,Capacity Building,70000,19
Other Neurological,55 to 64,NSW,Southern NSW,Core,131000,30
Other Neurological,55 to 64,NSW,Sydney,Capacity Building,66000,64
Other Neurological,55 to 64,NSW,Sydney,Core,184000,80
Other Neurological,55 to 64,NSW,Western NSW,Capacity Building,57000,38
Other Neurological,55 to 64,NSW,Western NSW,Core,156000,35
Other Neurological,55 to 64,NSW,Western Sydney,Capacity Building,85000,88
Other Neurological,55 to 64,NSW,Western Sydney,Capital,112000,18
Other Neurological,55 to 64,NSW,Western Sydney,Core,189000,131
Other Neurological,65+,NSW,Central Coast,Capacity Building,81000,35
Other Neurological,65+,NSW,Central Coast,Core,185000,47
Other Neurological,65+,NSW,Hunter New England,Capacity Building,76000,117
Other Neurological,65+,NSW,Hunter New England,Capital,63000,22
Other Neurological,65+,NSW,Hunter New England,Core,131000,137
Other Neurological,65+,NSW,Illawarra Shoalhaven,Capacity Building,84000,35
Other Neurological,65+,NSW,Illawarra Shoalhaven,Core,144000,66
Other Neurological,65+,NSW,Mid North Coast,Capacity Building,67000,29
Other Neurological,65+,NSW,Mid North Coast,Core,130000,32
Other Neurological,65+,NSW,Murrumbidgee,Capacity Building,44000,21
Other Neurological,65+,NSW,Murrumbidgee,Core,172000,21
Other Neurological,65+,NSW,Nepean Blue Mountains,Capacity Building,82000,26
Other Neurological,65+,NSW,Nepean Blue Mountains,Core,118000,32
Other Neurological,65+,NSW,North Sydney,Capacity Building,61000,77
Other Neurological,65+,NSW,North Sydney,Capital,49000,12
Other Neurological,65+,NSW,North Sydney,Core,187000,90
Other Neurological,65+,NSW,Northern NSW,Capacity Building,93000,25
Other Neurological,65+,NSW,Northern NSW,Core,137000,35
Other Neurological,65+,NSW,South Eastern Sydney,Capacity Building,70000,45
Other Neurological,65+,NSW,South Eastern Sydney,Core,205000,74
Other Neurological,65+,NSW,South Western Sydney,Capacity Building,93000,49
Other Neurological,65+,NSW,South Western Sydney,Core,160000,89
Other Neurological,65+,NSW,Southern NSW,Capacity Building,55000,20
Other Neurological,65+,NSW,Southern NSW,Core,142000,22
Other Neurological,65+,NSW,Sydney,Capacity Building,81000,35
Other Neurological,65+,NSW,Sydney,Core,210000,40
Other Neurological,65+,NSW,Western NSW,Capacity Building,49000,20
Other Neurological,65+,NSW,Western NSW,Core,146000,19
Other Neurological,65+,NSW,Western Sydney,Capacity Building,75000,55
Other Neurological,65+,NSW,Western Sydney,Core,199000,75
Other Neurological,7 to 14,NSW,Central Coast,Capacity Building,26000,15
Other Neurological,7 to 14,NSW,Central Coast,Core,46000,12
Other Neurological,7 to 14,NSW,Hunter New England,Capacity Building,24000,57
Other Neurological,7 to 14,NSW,Hunter New England,Core,34000,36
Other Neurological,7 to 14,NSW,Illawarra Shoalhaven,Core,40000,16
Other Neurological,7 to 14,NSW,Nepean Blue Mountains,Capacity Building,23000,13
Other Neurological,7 to 14,NSW,North Sydney,Capacity Building,34000,19
Other Neurological,7 to 14,NSW,North Sydney,Core,44000,24
Other Neurological,7 to 14,NSW,Northern NSW,Capacity Building,30000,14
Other Neurological,7 to 14,NSW,South Eastern Sydney,Capacity Building,36000,19
Other Neurological,7 to 14,NSW,South Eastern Sydney,Core,112000,18
Other Neurological,7 to 14,NSW,South Western Sydney,Capacity Building,41000,39
Other Neurological,7 to 14,NSW,South Western Sydney,Core,50000,35
Other Neurological,7 to 14,NSW,Southern NSW,Capacity Building,39000,11
Other Neurological,7 to 14,NSW,Western Sydney,Capacity Building,24000,35
Other Neurological,7 to 14,NSW,Western Sydney,Core,69000,18
Other Physical,0 to 6,NSW,Hunter New England,Capacity Building,18000,12
Other Physical,0 to 6,NSW,South Western Sydney,Capacity Building,18000,11
Other Physical,15 to 18,NSW,Hunter New England,Capacity Building,17000,19
Other Physical,15 to 18,NSW,Hunter New England,Core,28000,17
Other Physical,15 to 18,NSW,South Western Sydney,Core,60000,12
Other Physical,19 to 24,NSW,Hunter New England,Core,26000,11
Other Physical,19 to 24,NSW,South Western Sydney,Core,69000,13
Other Physical,19 to 24,NSW,Western Sydney,Core,114000,12
Other Physical,25 to 34,NSW,Hunter New England,Capacity Building,36000,21
Other Physical,25 to 34,NSW,Hunter New England,Core,24000,26
Other Physical,25 to 34,NSW,Illawarra Shoalhaven,Capacity Building,62000,14
Other Physical,25 to 34,NSW,Illawarra Shoalhaven,Core,43000,15
Other Physical,25 to 34,NSW,Nepean Blue Mountains,Core,77000,12
Other Physical,25 to 34,NSW,North Sydney,Core,56000,19
Other Physical,25 to 34,NSW,South Eastern Sydney,Core,78000,13
Other Physical,25 to 34,NSW,South Western Sydney,Capacity Building,60000,24
Other Physical,25 to 34,NSW,South Western Sydney,Core,74000,32
Other Physical,25 to 34,NSW,Southern NSW,Core,13000,13
Other Physical,25 to 34,NSW,Sydney,Core,34000,18
Other Physical,25 to 34,NSW,Western Sydney,Capacity Building,81000,26
Other Physical,25 to 34,NSW,Western Sydney,Core,84000,25
Other Physical,35 to 44,NSW,Central Coast,Core,49000,19
Other Physical,35 to 44,NSW,Hunter New England,Capacity Building,52000,34
Other Physical,35 to 44,NSW,Hunter New England,Core,40000,59
Other Physical,35 to 44,NSW,Illawarra Shoalhaven,Capacity Building,57000,18
Other Physical,35 to 44,NSW,Illawarra Shoalhaven,Core,57000,22
Other Physical,35 to 44,NSW,Nepean Blue Mountains,Capacity Building,50000,13
Other Physical,35 to 44,NSW,Nepean Blue Mountains,Core,67000,22
Other Physical,35 to 44,NSW,North Sydney,Capacity Building,41000,12
Other Physical,35 to 44,NSW,North Sydney,Core,54000,21
Other Physical,35 to 44,NSW,Northern NSW,Capacity Building,53000,11
Other Physical,35 to 44,NSW,Northern NSW,Core,51000,14
Other Physical,35 to 44,NSW,South Eastern Sydney,Capacity Building,94000,12
Other Physical,35 to 44,NSW,South Eastern Sydney,Core,61000,26
Other Physical,35 to 44,NSW,South Western Sydney,Capacity Building,74000,37
Other Physical,35 to 44,NSW,South Western Sydney,Core,65000,40
Other Physical,35 to 44,NSW,Western NSW,Core,40000,14
Other Physical,35 to 44,NSW,Western Sydney,Capacity Building,69000,33
Other Physical,35 to 44,NSW,Western Sydney,Core,74000,49
Other Physical,45 to 54,NSW,Central Coast,Capacity Building,48000,18
Other Physical,45 to 54,NSW,Central Coast,Core,43000,36
Other Physical,45 to 54,NSW,Hunter New England,Capacity Building,55000,53
Other Physical,45 to 54,NSW,Hunter New England,Capital,96000,20
Other Physical,45 to 54,NSW,Hunter New England,Core,68000,89
Other Physical,45 to 54,NSW,Illawarra Shoalhaven,Capacity Building,53000,24
Other Physical,45 to 54,NSW,Illawarra Shoalhaven,Core,66000,30
Other Physical,45 to 54,NSW,Mid North Coast,Core,82000,20
Other Physical,45 to 54,NSW,Murrumbidgee,Capacity Building,51000,11
Other Physical,45 to 54,NSW,Murrumbidgee,Core,90000,21
Other Physical,45 to 54,NSW,Nepean Blue Mountains,Capacity Building,41000,21
Other Physical,45 to 54,NSW,Nepean Blue Mountains,Core,33000,29
Other Physical,45 to 54,NSW,North Sydney,Capacity Building,71000,13
Other Physical,45 to 54,NSW,North Sydney,Core,72000,35
Other Physical,45 to 54,NSW,Northern NSW,Capacity Building,51000,25
Other Physical,45 to 54,NSW,Northern NSW,Core,93000,28
Other Physical,45 to 54,NSW,South Eastern Sydney,Capacity Building,53000,24
Other Physical,45 to 54,NSW,South Eastern Sydney,Core,77000,34
Other Physical,45 to 54,NSW,South Western Sydney,Capacity Building,70000,68
Other Physical,45 to 54,NSW,South Western Sydney,Capital,84000,14
Other Physical,45 to 54,NSW,South Western Sydney,Core,87000,83
Other Physical,45 to 54,NSW,Southern NSW,Capacity Building,34000,11
Other Physical,45 to 54,NSW,Southern NSW,Core,66000,18
Other Physical,45 to 54,NSW,Sydney,Capacity Building,79000,17
Other Physical,45 to 54,NSW,Sydney,Core,79000,34
Other Physical,45 to 54,NSW,Western NSW,Capacity Building,33000,23
Other Physical,45 to 54,NSW,Western NSW,Core,68000,14
Other Physical,45 to 54,NSW,Western Sydney,Capacity Building,80000,44
Other Physical,45 to 54,NSW,Western Sydney,Core,79000,51
Other Physical,55 to 64,NSW,Central Coast,Capacity Building,57000,28
Other Physical,55 to 64,NSW,Central Coast,Core,83000,47
Other Physical,55 to 64,NSW,Hunter New England,Capacity Building,58000,106
Other Physical,55 to 64,NSW,Hunter New England,Capital,75000,39
Other Physical,55 to 64,NSW,Hunter New England,Core,60000,163
Other Physical,55 to 64,NSW,Illawarra Shoalhaven,Capacity Building,59000,46
Other Physical,55 to 64,NSW,Illawarra Shoalhaven,Capital,57000,18
Other Physical,55 to 64,NSW,Illawarra Shoalhaven,Core,49000,62
Other Physical,55 to 64,NSW,Mid North Coast,Capacity Building,47000,18
Other Physical,55 to 64,NSW,Mid North Coast,Core,48000,37
Other Physical,55 to 64,NSW,Murrumbidgee,Capacity Building,46000,26
Other Physical,55 to 64,NSW,Murrumbidgee,Core,45000,44
Other Physical,55 to 64,NSW,Nepean Blue Mountains,Capacity Building,59000,30
Other Physical,55 to 64,NSW,Nepean Blue Mountains,Core,67000,34
Other Physical,55 to 64,NSW,North Sydney,Capacity Building,56000,29
Other Physical,55 to 64,NSW,North Sydney,Core,61000,62
Other Physical,55 to 64,NSW,Northern NSW,Capacity Building,68000,24
Other Physical,55 to 64,NSW,Northern NSW,Core,47000,65
Other Physical,55 to 64,NSW,South Eastern Sydney,Capacity Building,63000,38
Other Physical,55 to 64,NSW,South Eastern Sydney,Core,91000,63
Other Physical,55 to 64,NSW,South Western Sydney,Capacity Building,84000,92
Other Physical,55 to 64,NSW,South Western Sydney,Capital,70000,35
Other Physical,55 to 64,NSW,South Western Sydney,Core,77000,162
Other Physical,55 to 64,NSW,Southern NSW,Capacity Building,48000,28
Other Physical,55 to 64,NSW,Southern NSW,Core,64000,30
Other Physical,55 to 64,NSW,Sydney,Capacity Building,56000,30
Other Physical,55 to 64,NSW,Sydney,Core,53000,38
Other Physical,55 to 64,NSW,Western NSW,Capacity Building,57000,25
Other Physical,55 to 64,NSW,Western NSW,Core,44000,50
Other Physical,55 to 64,NSW,Western Sydney,Capacity Building,79000,69
Other Physical,55 to 64,NSW,Western Sydney,Capital,92000,20
Other Physical,55 to 64,NSW,Western Sydney,Core,94000,123
Other Physical,65+,NSW,Central Coast,Capacity Building,69000,16
Other Physical,65+,NSW,Central Coast,Core,59000,24
Other Physical,65+,NSW,Hunter New England,Capacity Building,54000,64
Other Physical,65+,NSW,Hunter New England,Capital,59000,27
Other Physical,65+,NSW,Hunter New England,Core,58000,123
Other Physical,65+,NSW,Illawarra Shoalhaven,Core,39000,38
Other Physical,65+,NSW,Mid North Coast,Core,35000,29
Other Physical,65+,NSW,Murrumbidgee,Capacity Building,31000,11
Other Physical,65+,NSW,Murrumbidgee,Core,62000,20
Other Physical,65+,NSW,Nepean Blue Mountains,Core,93000,23
Other Physical,65+,NSW,North Sydney,Core,67000,29
Other Physical,65+,NSW,Northern NSW,Capacity Building,41000,21
Other Physical,65+,NSW,Northern NSW,Core,67000,23
Other Physical,65+,NSW,South Eastern Sydney,Capacity Building,67000,17
Other Physical,65+,NSW,South Eastern Sydney,Core,71000,33
Other Physical,65+,NSW,South Western Sydney,Capacity Building,72000,41
Other Physical,65+,NSW,South Western Sydney,Core,84000,87
Other Physical,65+,NSW,Southern NSW,Core,55000,22
Other Physical,65+,NSW,Sydney,Core,77000,26
Other Physical,65+,NSW,Western NSW,Core,38000,12
Other Physical,65+,NSW,Western Sydney,Capacity Building,68000,36
Other Physical,65+,NSW,Western Sydney,Core,90000,55
Other Physical,7 to 14,NSW,Hunter New England,Capacity Building,22000,46
Other Physical,7 to 14,NSW,Hunter New England,Core,23000,36
Other Physical,7 to 14,NSW,Illawarra Shoalhaven,Capacity Building,24000,11
Other Physical,7 to 14,NSW,Illawarra Shoalhaven,Core,11000,21
Other Physical,7 to 14,NSW,North Sydney,Capacity Building,19000,18
Other Physical,7 to 14,NSW,North Sydney,Core,16000,14
Other Physical,7 to 14,NSW,South Eastern Sydney,Capacity Building,30000,14
Other Physical,7 to 14,NSW,South Eastern Sydney,Core,27000,21
Other Physical,7 to 14,NSW,South Western Sydney,Capacity Building,39000,30
Other Physical,7 to 14,NSW,South Western Sydney,Core,31000,38
Other Physical,7 to 14,NSW,Western Sydney,Capacity Building,24000,22
Other Physical,7 to 14,NSW,Western Sydney,Core,37000,27
Other Sensory/Speech,0 to 6,NSW,Western Sydney,Capacity Building,11000,13
Other Sensory/Speech,15 to 18,NSW,Hunter New England,Capacity Building,7000,27
Other Sensory/Speech,7 to 14,NSW,Central Coast,Capacity Building,4000,15
Other Sensory/Speech,7 to 14,NSW,Hunter New England,Capacity Building,7000,145
Other Sensory/Speech,7 to 14,NSW,Hunter New England,Core,9000,46
Other Sensory/Speech,7 to 14,NSW,Murrumbidgee,Capacity Building,5000,18
Other Sensory/Speech,7 to 14,NSW,Nepean Blue Mountains,Capacity Building,3000,41
Other Sensory/Speech,7 to 14,NSW,North Sydney,Capacity Building,10000,21
Other Sensory/Speech,7 to 14,NSW,Northern NSW,Capacity Building,9000,14
Other Sensory/Speech,7 to 14,NSW,South Western Sydney,Capacity Building,10000,44
Other Sensory/Speech,7 to 14,NSW,South Western Sydney,Core,6000,16
Other Sensory/Speech,7 to 14,NSW,Sydney,Capacity Building,12000,17
Other Sensory/Speech,7 to 14,NSW,Western NSW,Capacity Building,7000,23
Other Sensory/Speech,7 to 14,NSW,Western NSW,Core,6000,11
Other Sensory/Speech,7 to 14,NSW,Western Sydney,Capacity Building,9000,53
Other Sensory/Speech,7 to 14,NSW,Western Sydney,Core,6000,16
Psychosocial disability,15 to 18,NSW,Hunter New England,Capacity Building,23000,19
Psychosocial disability,15 to 18,NSW,South Western Sydney,Capacity Building,60000,15
Psychosocial disability,19 to 24,NSW,Central Coast,Capacity Building,49000,19
Psychosocial disability,19 to 24,NSW,Central Coast,Core,106000,14
Psychosocial disability,19 to 24,NSW,Hunter New England,Capacity Building,76000,68
Psychosocial disability,19 to 24,NSW,Hunter New England,Core,153000,48
Psychosocial disability,19 to 24,NSW,Illawarra Shoalhaven,Capacity Building,61000,27
Psychosocial disability,19 to 24,NSW,Illawarra Shoalhaven,Core,189000,16
Psychosocial disability,19 to 24,NSW,Murrumbidgee,Capacity Building,55000,12
Psychosocial disability,19 to 24,NSW,Murrumbidgee,Core,42000,17
Psychosocial disability,19 to 24,NSW,Nepean Blue Mountains,Capacity Building,46000,18
Psychosocial disability,19 to 24,NSW,North Sydney,Capacity Building,48000,22
Psychosocial disability,19 to 24,NSW,North Sydney,Core,36000,18
Psychosocial disability,19 to 24,NSW,Northern NSW,Capacity Building,59000,19
Psychosocial disability,19 to 24,NSW,South Eastern Sydney,Capacity Building,37000,19
Psychosocial disability,19 to 24,NSW,South Eastern Sydney,Core,125000,14
Psychosocial disability,19 to 24,NSW,South Western Sydney,Capacity Building,72000,42
Psychosocial disability,19 to 24,NSW,South Western Sydney,Core,109000,49
Psychosocial disability,19 to 24,NSW,Southern NSW,Core,40000,17
Psychosocial disability,19 to 24,NSW,Sydney,Capacity Building,35000,14
Psychosocial disability,19 to 24,NSW,Sydney,Core,40000,18
Psychosocial disability,19 to 24,NSW,Western NSW,Capacity Building,66000,21
Psychosocial disability,19 to 24,NSW,Western NSW,Core,304000,17
Psychosocial disability,19 to 24,NSW,Western Sydney,Capacity Building,59000,35
Psychosocial disability,19 to 24,NSW,Western Sydney,Core,99000,31
Psychosocial disability,25 to 34,NSW,Central Coast,Capacity Building,49000,72
Psychosocial disability,25 to 34,NSW,Central Coast,Core,68000,47
Psychosocial disability,25 to 34,NSW,Hunter New England,Capacity Building,61000,226
Psychosocial disability,25 to 34,NSW,Hunter New England,Core,103000,187
Psychosocial disability,25 to 34,NSW,Illawarra Shoalhaven,Capacity Building,63000,70
Psychosocial disability,25 to 34,NSW,Illawarra Shoalhaven,Core,92000,60
Psychosocial disability,25 to 34,NSW,Mid North Coast,Capacity Building,82000,37
Psychosocial disability,25 to 34,NSW,Mid North Coast,Core,53000,38
Psychosocial disability,25 to 34,NSW,Murrumbidgee,Capacity Building,53000,54
Psychosocial disability,25 to 34,NSW,Murrumbidgee,Core,63000,48
Psychosocial disability,25 to 34,NSW,Nepean Blue Mountains,Capacity Building,50000,72
Psychosocial disability,25 to 34,NSW,Nepean Blue Mountains,Core,131000,54
Psychosocial disability,25 to 34,NSW,North Sydney,Capacity Building,50000,66
Psychosocial disability,25 to 34,NSW,North Sydney,Core,79000,63
Psychosocial disability,25 to 34,NSW,Northern NSW,Capacity Building,61000,61
Psychosocial disability,25 to 34,NSW,Northern NSW,Core,91000,42
Psychosocial disability,25 to 34,NSW,South Eastern Sydney,Capacity Building,49000,117
Psychosocial disability,25 to 34,NSW,South Eastern Sydney,Core,111000,60
Psychosocial disability,25 to 34,NSW,South Western Sydney,Capacity Building,77000,179
Psychosocial disability,25 to 34,NSW,South Western Sydney,Core,143000,147
Psychosocial disability,25 to 34,NSW,Southern NSW,Capacity Building,45000,27
Psychosocial disability,25 to 34,NSW,Southern NSW,Core,64000,26
Psychosocial disability,25 to 34,NSW,Sydney,Capacity Building,47000,90
Psychosocial disability,25 to 34,NSW,Sydney,Core,64000,60
Psychosocial disability,25 to 34,NSW,Western NSW,Capacity Building,53000,35
Psychosocial disability,25 to 34,NSW,Western NSW,Core,84000,33
Psychosocial disability,25 to 34,NSW,Western Sydney,Capacity Building,69000,121
Psychosocial disability,25 to 34,NSW,Western Sydney,Core,121000,129
Psychosocial disability,35 to 44,NSW,Central Coast,Capacity Building,50000,102
Psychosocial disability,35 to 44,NSW,Central Coast,Core,56000,75
Psychosocial disability,35 to 44,NSW,Hunter New England,Capacity Building,60000,320
Psychosocial disability,35 to 44,NSW,Hunter New England,Core,92000,276
Psychosocial disability,35 to 44,NSW,Illawarra Shoalhaven,Capacity Building,56000,126
Psychosocial disability,35 to 44,NSW,Illawarra Shoalhaven,Core,95000,98
Psychosocial disability,35 to 44,NSW,Mid North Coast,Capacity Building,86000,73
Psychosocial disability,35 to 44,NSW,Mid North Coast,Core,61000,61
Psychosocial disability,35 to 44,NSW,Murrumbidgee,Capacity Building,52000,57
Psychosocial disability,35 to 44,NSW,Murrumbidgee,Core,101000,53
Psychosocial disability,35 to 44,NSW,Nepean Blue Mountains,Capacity Building,58000,80
Psychosocial disability,35 to 44,NSW,Nepean Blue Mountains,Core,79000,68
Psychosocial disability,35 to 44,NSW,North Sydney,Capacity Building,48000,134
Psychosocial disability,35 to 44,NSW,North Sydney,Core,55000,116
Psychosocial disability,35 to 44,NSW,Northern NSW,Capacity Building,70000,106
Psychosocial disability,35 to 44,NSW,Northern NSW,Core,66000,77
Psychosocial disability,35 to 44,NSW,South Eastern Sydney,Capacity Building,56000,162
